,0
37962,22
4778,22
5984,22
2891,22
9238,22
34896,22
26122,22
3457,22
21671,22
34862,22
32217,15
23647,15
38767,15
13877,15
2585,15
11300,15
22205,15
24117,15
650,15
31852,15
23140,62
4923,62
12323,62
33168,62
31473,62
25600,62
36113,62
8447,62
31919,62
2598,62
34297,38
22588,38
38577,38
20725,38
3,38
20906,38
36313,38
31375,38
3987,38
22566,38
13836,73
6423,73
11396,73
14538,73
16445,73
39331,73
36002,73
26474,73
12202,73
25189,73
37336,59
4632,59
29456,59
21677,59
35235,59
7823,59
4806,59
28620,59
19670,59
22799,59
12349,75
27896,75
15388,75
32609,75
15226,75
13182,75
6262,75
5998,75
21278,75
2429,75
25899,97
8132,97
28534,97
5053,97
35395,97
2610,97
10109,97
36698,97
11131,97
2044,97
28619,88
9160,88
21925,88
37080,88
258,88
14831,88
31947,88
15152,88
12651,88
34626,88
17853,48
35388,48
35241,48
26963,48
15541,48
24961,48
25330,48
29212,48
27444,48
3474,48
21339,16
15441,16
6604,16
25850,16
14421,16
9125,16
38407,16
7863,16
18335,16
2123,16
36662,5
6182,5
29308,5
24660,5
3642,5
23065,5
27401,5
10204,5
30422,5
4647,5
19449,80
13040,80
3129,80
39280,80
9004,80
29258,80
25370,80
12740,80
8947,80
1289,80
15977,63
20169,63
14891,63
18587,63
5259,63
3115,63
9580,63
16148,63
5905,63
7585,63
16715,1
25280,1
8489,1
5589,1
40260,1
25310,1
4626,1
30617,1
18857,1
26270,1
11366,90
19298,90
31763,90
13561,90
24863,90
28934,90
17285,90
27062,90
26444,90
40177,90
11379,100
37430,100
36153,100
37084,100
10593,100
21742,100
2029,100
32387,100
8326,100
16106,100
21635,21
7504,21
1716,21
2235,21
2953,21
39167,21
14509,21
23382,21
20633,21
15477,21
16015,117
4309,117
24309,117
1112,117
8582,117
12067,117
24628,117
26672,117
30588,117
1724,117
10569,68
3656,68
12450,68
11703,68
18667,68
9918,68
27606,68
34594,68
492,68
15987,68
17939,135
1345,135
27180,135
10762,135
29004,135
39135,135
31951,135
5069,135
11197,135
37379,135
8273,24
19764,24
36152,24
34598,24
3007,24
21522,24
10227,24
31148,24
25065,24
13151,24
